chapter_number,chapter_title,module_title,module_id
0,Appendix,Preface to Biology,m46078
Unit 1: The Chemistry of Life,,,
1,The Study of Life,1.0 Introduction,m44386
1,The Study of Life,1.1 The Science of Biology,m44387
1,The Study of Life,1.2 Themes and Concepts of Biology,m44388
2,The Chemical Foundation of Life,2.0 Introduction,m44389
2,The Chemical Foundation of Life,"2.1 Atoms, Isotopes, Ions, and Molecules: The Building Blocks",m44390
2,The Chemical Foundation of Life,2.2 Water,m44392
2,The Chemical Foundation of Life,2.3 Carbon,m44393
3,Biological Macromolecules,3.0 Introduction,m44395
3,Biological Macromolecules,3.1 Synthesis of Biological Macromolecules,m44397
3,Biological Macromolecules,3.2 Carbohydrates,m44400
3,Biological Macromolecules,3.3 Lipids,m44401
3,Biological Macromolecules,3.4 Proteins,m44402
3,Biological Macromolecules,3.5 Nucleic Acids,m44403
Unit 2: The Cell,,,
4,Cell Structure,4.0 Introduction,m44404
4,Cell Structure,4.1 Studying Cells,m44405
4,Cell Structure,4.2 Prokaryotic Cells,m44406
4,Cell Structure,4.3 Eukaryotic Cells,m44407
4,Cell Structure,4.4 The Endomembrane System and Proteins,m44435
4,Cell Structure,4.5 The Cytoskeleton,m44412
4,Cell Structure,4.6 Connections between Cells and Cellular Activities,m44413
5,Structure and Function of Plasma Membranes,5.0 Introduction,m44415
5,Structure and Function of Plasma Membranes,5.1 Components and Structure,m44416
5,Structure and Function of Plasma Membranes,5.2 Passive Transport,m44417
5,Structure and Function of Plasma Membranes,5.3 Active Transport,m44418
5,Structure and Function of Plasma Membranes,5.4 Bulk Transport,m44419
6,Metabolism,6.0 Introduction,m44421
6,Metabolism,6.1 Energy and Metabolism,m44422
6,Metabolism,"6.2 Potential, Kinetic, Free, and Activation Energy",m44425
6,Metabolism,6.3 The Laws of Thermodynamics,m44424
6,Metabolism,6.4 ATP: Adenosine Triphosphate,m44427
6,Metabolism,6.5 Enzymes,m44429
7,Cellular Respiration,7.0 Introduction,m44430
7,Cellular Respiration,7.1 Energy in Living Systems,m44431
7,Cellular Respiration,7.2 Glycolysis,m44432
7,Cellular Respiration,7.3 Oxidation of Pyruvate and the Citric Acid Cycle,m44433
7,Cellular Respiration,7.4 Oxidative Phosphorylation,m44437
7,Cellular Respiration,7.5 Metabolism without Oxygen,m44444
7,Cellular Respiration,"7.6 Connections of Carbohydrate, Protein, and Lipid Metabolic Pathways",m44441
7,Cellular Respiration,7.7 Regulation of Cellular Respiration,m44442
8,Photosynthesis,8.0 Introduction,m44446
8,Photosynthesis,8.1 Overview of Photosynthesis,m44447
8,Photosynthesis,8.2 The Light-Dependent Reactions of Photosynthesis,m44448
8,Photosynthesis,8.3 Using Light Energy to Make Organic Molecules,m44449
9,Cell Communication,9.0 Introduction,m44450
9,Cell Communication,9.1 Signaling Molecules and Cellular Receptors,m44451
9,Cell Communication,9.2 Propagation of the Signal,m44452
9,Cell Communication,9.3 Response to the Signal,m44453
9,Cell Communication,9.4 Signaling in Single-Celled Organisms,m44454
10,Cell Reproduction,10.0 Introduction,m44457
10,Cell Reproduction,10.1 Cell Division,m44459
10,Cell Reproduction,10.2 The Cell Cycle,m44460
10,Cell Reproduction,10.3 Control of the Cell Cycle,m44466
10,Cell Reproduction,10.4 Cancer and the Cell Cycle,m44463
10,Cell Reproduction,10.5 Prokaryotic Cell Division,m44467
Unit 3: Genetics,,,
11,Meiosis and Sexual Reproduction,11.0 Introduction,m44468
11,Meiosis and Sexual Reproduction,11.1 The Process of Meiosis,m44469
11,Meiosis and Sexual Reproduction,11.2 Sexual Reproduction,m44470
12,Mendel's Experiments and Heredity,12.0 Introduction,m44474
12,Mendel's Experiments and Heredity,12.1 Mendel's Experiments and the Laws of Probability,m44476
12,Mendel's Experiments and Heredity,12.2 Characteristics and Traits,m44478
12,Mendel's Experiments and Heredity,12.3 Laws of Inheritance,m44479
13,Modern Undersatndings of Inheritance,13.0 Introduction,m44480
13,Modern Undersatndings of Inheritance,13.1 Chromosomal Theory and Genetic Linkage,m44481
13,Modern Undersatndings of Inheritance,13.2 Chromosomal Basis of Inherited Disorders,m44483
14,DNA Structure and Function,14.0 Introduction,m44484
14,DNA Structure and Function,14.1 Historical Basis of Modern Understanding,m44485
14,DNA Structure and Function,14.2 DNA Structure and Sequencing,m44486
14,DNA Structure and Function,14.3 Basics of DNA Replication,m44487
14,DNA Structure and Function,14.4 DNA Replication in Prokaryotes,m44488
14,DNA Structure and Function,14.5 DNA Replication in Eukaryotes,m44517
14,DNA Structure and Function,14.6 DNA Repair,m44513
15,Genes and Proteins,15.0 Introduction,m44518
15,Genes and Proteins,15.1 The Genetic Code,m44522
15,Genes and Proteins,15.2 Prokaryotic Transcription,m44523
15,Genes and Proteins,15.3 Eukaryotic Transcription,m44524
15,Genes and Proteins,15.4 RNA Processing in Eukaryotes,m44532
15,Genes and Proteins,15.5 Ribosomes and Protein Synthesis,m44529
16,Gene Expression,16.0 Introduction,m44533
16,Gene Expression,16.1 Regulation of Gene Expression,m44534
16,Gene Expression,16.2 Prokaryotic Gene Regulation,m44535
16,Gene Expression,16.3 Eukaryotic Epigenetic Gene Regulation,m44536
16,Gene Expression,16.4 Eukaryotic Transcription Gene Regulation,m44538
16,Gene Expression,16.5 Eukaryotic Post-translational Gene Regulation,m44539
16,Gene Expression,16.6 Eukaryotic Translational and Post-translational Gene Regulation,m44542
16,Gene Expression,16.7 Cancer and Gene Regulation,m44548
17,Biotechnology and Genomics,17.0 Introduction,m44551
17,Biotechnology and Genomics,17.1 Biotechnology,m44552
17,Biotechnology and Genomics,17.2 Mapping Genomes,m44554
17,Biotechnology and Genomics,17.3 Whole-Genome Sequencing,m44555
17,Biotechnology and Genomics,17.4 Applying Genomics,m44560
17,Biotechnology and Genomics,17.5 Genomics and Proteomics,m44558
Unit 4: Evolutionary Processes,,,
18,Evolution and the Origin of Species,18.0 Introduction,m44561
18,Evolution and the Origin of Species,18.1 Understanding Evolution,m44568
18,Evolution and the Origin of Species,18.2 Formation of New Species,m44574
18,Evolution and the Origin of Species,18.3 Reconnection and Rates of Speciation,m44573
19,The Evolution of Populations,19.0 Introduction,m44575
19,The Evolution of Populations,19.1 Population Evolution,m44582
19,The Evolution of Populations,19.2 Population Genetics,m44584
19,The Evolution of Populations,19.3 Adaptive Evolution,m44586
20,Phylogenies and the History of Life,20.0 Introduction,m44587
20,Phylogenies and the History of Life,20.1 Organizing Life on Earth,m44588
20,Phylogenies and the History of Life,20.2 Determinig Evolutionary Relationships,m44591
20,Phylogenies and the History of Life,20.3 Perspectives on the Phylogenetic Tree,m44593
Unit 5: Biological Diversity,,,
21,Viruses,21.0 Introduction,m44594
21,Viruses,"21.1 Viral Evolution, Morphology, and Classification",m44595
21,Viruses,21.2 Virus Infections and Hosts,m44597
21,Viruses,21.3 Prevention and Treatment of Viral Infections,m44599
21,Viruses,21.4 Other Acellular Entities: Prions and Viroids,m44601
22,Prokaryotes: Bacteria and Archaea,22.0 Introduction,m44602
22,Prokaryotes: Bacteria and Archaea,22.1 Prokaryotic Diversity,m44603
22,Prokaryotes: Bacteria and Archaea,22.2 Structure of Prokaryotes,m44605
22,Prokaryotes: Bacteria and Archaea,22.3 Prokaryotic Metabolism,m44606
22,Prokaryotes: Bacteria and Archaea,22.4 Bacterial Diseases in Humans,m44607
22,Prokaryotes: Bacteria and Archaea,22.5 Beneficial Prokaryotes,m44609
23,Protists,23.0 Introduction,m44612
23,Protists,23.1 Eukaryotic Origins,m44614
23,Protists,23.2 Characteristics of Protists,m44616
23,Protists,23.3 Groups of Protists,m44617
23,Protists,23.4 Ecology of Protists,m44619
24,Fungi,24.0 Introduction,m44620
24,Fungi,24.1 Characteristics of Fungi,m44622
24,Fungi,24.2 Classifications of Fungi,m44625
24,Fungi,24.3 Ecology of Fungi,m44632
24,Fungi,24.4 Fungal Parasites and Pathogens,m44628
24,Fungi,24.5 Importance of Fungi in Human Life,m44629
25,Seedless Plants,25.0 Introduction,m44633
25,Seedless Plants,25.1 Early Plant Life,m44635
25,Seedless Plants,25.2 Green Algae: Precursors of Land Plants,m44637
25,Seedless Plants,25.3 Bryophytes,m44638
25,Seedless Plants,25.4 Seedless Vascular Plants,m44640
26,Seed Plants,26.0 Introduction,m44643
26,Seed Plants,26.1 Evolution of Seed Plants,m44653
26,Seed Plants,26.2 Gymnosperms,m44648
26,Seed Plants,26.3 Angiosperms,m44650
26,Seed Plants,26.4 The Role of Seed Plants,m44652
27,Introduction to Animal Diversity,27.0 Introduction,m44654
27,Introduction to Animal Diversity,27.1 Features of the Animal Kingdom,m44655
27,Introduction to Animal Diversity,27.2 Features Used to Classify Animals,m44656
27,Introduction to Animal Diversity,27.3 Animal Phylogeny,m44658
27,Introduction to Animal Diversity,27.4 The Evolutionary History of the Animal Kingdom,m44660
28,Invertebrates,28.0 Introduction,m44661
28,Invertebrates,28.1 Phylum Porifera,m44663
28,Invertebrates,28.2 Phylum Cnidaria,m44664
28,Invertebrates,28.3 Superphylum Lophotrochozoa,m44665
28,Invertebrates,28.4 Superphylum Ecdysozoa,m44667
28,Invertebrates,28.5 Superphylum Deuterostomia,m44681
29,Vertebrates,29.0 Introduction,m44684
29,Vertebrates,29.1 Chordates,m44685
29,Vertebrates,29.2 Fishes,m44687
29,Vertebrates,29.3 Amphibians,m44688
29,Vertebrates,29.4 Reptiles,m44689
29,Vertebrates,29.5 Birds,m44694
29,Vertebrates,29.6 Mammals,m44692
29,Vertebrates,29.7 The Evolution of Primates,m44696
Unit 6: Plant Structure and Function,,,
30,Plant Form and Physiology,30.0 Introduction,m44698
30,Plant Form and Physiology,30.1 The Plant Body,m44700
30,Plant Form and Physiology,30.2 Stems,m44702
30,Plant Form and Physiology,30.3 Roots,m44704
30,Plant Form and Physiology,30.4 Leaves,m44706
30,Plant Form and Physiology,30.5 Transport of Water and Solutes in Plants,m44708
30,Plant Form and Physiology,30.6 Plant Sensory Systems and Responses,m44711
31,Soil and Plant Nutrition,31.0 Introduction,m44712
