"","uid","X","text","option_id_1","option_id_2","option_id_3","option_id_4","option_id_5","option_id_6","option_text_1","option_text_2","option_text_3","option_text_4","option_text_5","option_text_6","Tags"
"1","2932@2",2572,"Which of the following best describes an antigen?",52964,52963,52962,52961,NA,NA,"small chemical groups attached to pathogens","large groups of proteins attached to pathogens","small groups of white blood cells","large groups of cells attached to red blood cells",NA,NA,"book:stax-anp,lo:stax-anp:21-3-2,ost-type:concept-coach,exid:stax-anp:1779,context-cnxmod:9e1ab8e9-3150-4c2a-b466-2c4763df2afe,dok:1,blooms:1,time:short,type:conceptual-or-recall"
"2","2932@2",2572,"Which of the following best describes an antigen?",52964,52963,52962,52961,NA,NA,"small chemical groups attached to pathogens","large groups of proteins attached to pathogens","small groups of white blood cells","large groups of cells attached to red blood cells",NA,NA,"book:stax-anp,lo:stax-anp:21-3-2,ost-type:concept-coach,id:stax-anp:1779,cnxmod:9e1ab8e9-3150-4c2a-b466-2c4763df2afe,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:y"
"3","2933@1",954,"A molecule of fat consists of ___ and fatty acids.",11582,11583,11584,11585,NA,NA,"amino acid","glucose","glycerol","guanine",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,lo:stax-anp:2-5-4,id:stax-anp:1780,cnxmod:6773536c-3efb-44c9-8ace-78fafdce27e1,requires-choices:n"
"4","2933@1",954,"A molecule of fat consists of ___ and fatty acids.",11582,11583,11584,11585,NA,NA,"amino acid","glucose","glycerol","guanine",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,lo:stax-anp:2-5-4,exid:stax-anp:1780,context-cnxmod:6773536c-3efb-44c9-8ace-78fafdce27e1,type:conceptual-or-recall"
"5","2934@1",2867,"Which of the following supplies the myocardium with blood?",11586,11587,11588,11589,NA,NA,"pulmonary artery","coronary arteries","aorta","superior vena cava",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:y,lo:stax-anp:19-1-6,id:stax-anp:1781,cnxmod:6394ffc1-5482-4aa6-9233-23ad34848fa0"
"6","2934@1",2867,"Which of the following supplies the myocardium with blood?",11586,11587,11588,11589,NA,NA,"pulmonary artery","coronary arteries","aorta","superior vena cava",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,lo:stax-anp:19-1-6,exid:stax-anp:1781,context-cnxmod:6394ffc1-5482-4aa6-9233-23ad34848fa0,type:conceptual-or-recall"
"7","2935@1",1701,"A heart block describes an interruption in the normal conduction pathway that occurs in the heart. What occurs during a second degree AV block?",11590,11591,11592,11593,NA,NA,"partial block—there is a delay between the SA and AV nodes","complete block—no correlation between atrial and ventricular activity","incomplete block—some impulses from the SA node reach the AV node and continue, while others do not.","SA node block—the SA node does not send out any impulses",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:n,lo:stax-anp:19-2-5,id:stax-anp:1782,cnxmod:302812e9-2d2d-4e44-8075-4bb75db53f36"
"8","2935@1",1701,"A heart block describes an interruption in the normal conduction pathway that occurs in the heart. What occurs during a second degree AV block?",11590,11591,11592,11593,NA,NA,"partial block—there is a delay between the SA and AV nodes","complete block—no correlation between atrial and ventricular activity","incomplete block—some impulses from the SA node reach the AV node and continue, while others do not.","SA node block—the SA node does not send out any impulses",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,lo:stax-anp:19-2-5,exid:stax-anp:1782,context-cnxmod:302812e9-2d2d-4e44-8075-4bb75db53f36,type:conceptual-or-recall"
"9","2936@1",2163,"The cardiac cycle is defined as ___.",11594,11595,11596,11597,NA,NA,"the period of time beginning with the contraction of the atria and the relaxation of the ventricles","the flow of blood throughout the body","the difference in blood pressure immediately before and after a heart contraction","the coordination between contractions of the heart and breathing",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:n,lo:stax-anp:19-4-3,id:stax-anp:1783,cnxmod:49351638-09b0-4ab1-85cd-e62ba09ffccb"
"10","2936@1",2163,"The cardiac cycle is defined as ___.",11594,11595,11596,11597,NA,NA,"the period of time beginning with the contraction of the atria and the relaxation of the ventricles","the flow of blood throughout the body","the difference in blood pressure immediately before and after a heart contraction","the coordination between contractions of the heart and breathing",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,lo:stax-anp:19-4-3,exid:stax-anp:1783,context-cnxmod:49351638-09b0-4ab1-85cd-e62ba09ffccb,type:conceptual-or-recall"
"11","2937@1",2167,"From which primary germ layer does the heart form?",11598,11599,11600,11601,NA,NA,"endoderm","ectoderm","mesoderm","neural crest",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:n,lo:stax-anp:19-5-2,id:stax-anp:1784,cnxmod:1b1b4368-fa60-4837-883f-c8787424f0b1"
"12","2937@1",2167,"From which primary germ layer does the heart form?",11598,11599,11600,11601,NA,NA,"endoderm","ectoderm","mesoderm","neural crest",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,lo:stax-anp:19-5-2,exid:stax-anp:1784,context-cnxmod:1b1b4368-fa60-4837-883f-c8787424f0b1,type:conceptual-or-recall"
"13","2938@1",3029,"Which of the following is a major mechanism of pulmonary ventilation?",11602,11603,11604,11605,NA,NA,"intrapleural pressure","systolic pressure","diastolic pressure","blood pressure",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,lo:stax-anp:22-3-3,exid:stax-anp:1785,context-cnxmod:bbaedbf4-4d78-4b7c-bc94-2a742f0f2f8c,type:conceptual-or-recall"
"14","2938@1",3029,"Which of the following is a major mechanism of pulmonary ventilation?",11602,11603,11604,11605,NA,NA,"intrapleural pressure","systolic pressure","diastolic pressure","blood pressure",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:y,lo:stax-anp:22-3-3,id:stax-anp:1785,cnxmod:bbaedbf4-4d78-4b7c-bc94-2a742f0f2f8c"
"15","2939@1",3039,"Respiratory rate refers to the total number of breaths (respiratory cycles) that occur each minute. The respiratory rate is controlled by the ___ within the brain.",11606,11607,11608,11609,NA,NA,"hypothalamus","medulla oblongata","corpus callosum","cerebellum",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,context-cnxmod:bbaedbf4-4d78-4b7c-bc94-2a742f0f2f8c,lo:stax-anp:22-3-6,exid:stax-anp:1786,type:conceptual-or-recall"
"16","2939@1",3039,"Respiratory rate refers to the total number of breaths (respiratory cycles) that occur each minute. The respiratory rate is controlled by the ___ within the brain.",11606,11607,11608,11609,NA,NA,"hypothalamus","medulla oblongata","corpus callosum","cerebellum",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:n,cnxmod:bbaedbf4-4d78-4b7c-bc94-2a742f0f2f8c,lo:stax-anp:22-3-6,id:stax-anp:1786"
"17","2940@1",3045,"Both hyperpnea and hyperventilation refer to an increase in ventilation. Which of the following is an indication of hyperventilation and not hyperpnea?",11610,11611,11612,11613,NA,NA,"alkaline blood pH","previous heavy exercise","respiratory diseases such as asthma","low oxygen levels in the blood",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:y,lo:stax-anp:22-6-1,id:stax-anp:1787,cnxmod:11673dd9-55e6-46d9-8b78-b06df85246bd"
"18","2940@1",3045,"Both hyperpnea and hyperventilation refer to an increase in ventilation. Which of the following is an indication of hyperventilation and not hyperpnea?",11610,11611,11612,11613,NA,NA,"alkaline blood pH","previous heavy exercise","respiratory diseases such as asthma","low oxygen levels in the blood",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,lo:stax-anp:22-6-1,exid:stax-anp:1787,context-cnxmod:11673dd9-55e6-46d9-8b78-b06df85246bd,type:conceptual-or-recall"
"19","2941@1",3065,"Which of the following is part of the alimentary canal (GI Tract)?",11614,11615,11616,11617,NA,NA,"liver","gall bladder","esophagus","pancreas",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:y,lo:stax-anp:23-1-1,id:stax-anp:1788,cnxmod:94fbc1ca-dcaa-47ad-94be-2cfeb168c347"
"20","2941@1",3065,"Which of the following is part of the alimentary canal (GI Tract)?",11614,11615,11616,11617,NA,NA,"liver","gall bladder","esophagus","pancreas",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,lo:stax-anp:23-1-1,exid:stax-anp:1788,context-cnxmod:94fbc1ca-dcaa-47ad-94be-2cfeb168c347,type:conceptual-or-recall"
"21","2942@1",2631,"Which of the following correctly describes a region of the stomach?",11618,11619,11620,11621,NA,NA,"cardia—main part of the stomach","fundus—point in which the esophagus connects to the stomach","pylorus—connects the stomach to the duodenum","body— dome-shaped portion of the stomach",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:y,lo:stax-anp:23-4-1,id:stax-anp:1789,cnxmod:3bd76f0b-1510-44f7-bf4f-54b7a7fa7452"
"22","2942@1",2631,"Which of the following correctly describes a region of the stomach?",11618,11619,11620,11621,NA,NA,"cardia—main part of the stomach","fundus—point in which the esophagus connects to the stomach","pylorus—connects the stomach to the duodenum","body— dome-shaped portion of the stomach",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,lo:stax-anp:23-4-1,exid:stax-anp:1789,context-cnxmod:3bd76f0b-1510-44f7-bf4f-54b7a7fa7452,type:conceptual-or-recall"
"23","2943@1",3087,"What prevents the stomach from digesting itself?",11622,11623,11624,11625,NA,NA,"epithelial cells that meet at gap junctions","bicarbonate-rich mucosal secretions","acidic secretions","slow developing stem cells",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,context-cnxmod:3bd76f0b-1510-44f7-bf4f-54b7a7fa7452,lo:stax-anp:23-4-3,exid:stax-anp:1790,type:conceptual-or-recall"
"24","2943@1",3087,"What prevents the stomach from digesting itself?",11622,11623,11624,11625,NA,NA,"epithelial cells that meet at gap junctions","bicarbonate-rich mucosal secretions","acidic secretions","slow developing stem cells",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:n,cnxmod:3bd76f0b-1510-44f7-bf4f-54b7a7fa7452,lo:stax-anp:23-4-3,id:stax-anp:1790"
"25","2944@2",3532,"Which of the following are unique to the walls of the large intestine?",52648,52647,52646,52645,NA,NA,"fundus","teniae coli","smooth muscle tissue","cardiac sphincter",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,lo:stax-anp:23-5-4,exid:stax-anp:1791,context-cnxmod:430d8e5a-f699-4949-9849-5b4ca1125fa2,type:conceptual-or-recall"
"26","2945@1",683,"An important function of the axial skeleton is __________.",11630,11631,11632,11633,NA,NA,"to provide stability during walking","protecting the organs of the pelvic cavity","forming the hands and feet","to protect the brain, spinal cord, heart, and lungs",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,lo:stax-anp:7-1-3,exid:stax-anp:1229,context-cnxmod:3d4e4991-1e5b-4700-9c46-1a9ab4143bc2,dok:2,type:conceptual-or-recall"
